0.000000	-126.1417006	1	1
0.000000	-144.5668774	1	1
0.000000	-161.5747858	1	1
0.000000	-179.9999626	1	1
0.000000	164.4094372	1	1
0.007874	147.4015288	1	1
0.007874	128.976352	1	1
0.015748	110.5511752	1	1
0.023622	92.12594117	1	1
0.031496	75.1180901	1	1
0.031496	56.69291332	1	0.992126
0.039370	39.68500495	1	0.992126
0.055118	21.25982817	1	0.992126
0.062992	2.834651396	1	0.992126
0.070866	-14.17319968	1	0.984252
0.078740	-32.59843375	1	0.984252
0.094488	-49.60628483	1	0.984252
0.102362	-66.61413591	1	0.976378
0.118110	-85.03936998	1	0.976378
0.125984	-102.0472211	1	0.976378
0.141732	-120.4723978	1	0.968504
0.157480	-137.4803062	1	0.968504
0.173228	-154.4881573	1	0.96063
0.188976	-171.4960084	1	0.96063
0.196850	174.3306598	1	0.96063
0.212598	155.905483	1	0.952756
0.228346	138.8976319	1	0.944882
0.244094	121.8897235	1	0.944882
0.267717	104.8818725	1	0.937008
0.283465	89.29134708	1	0.937008
0.299213	72.2834387	1	0.929134
0.314961	55.27558762	1	0.929134
0.330709	38.26773655	1	0.92126
0.346457	22.67715387	1	0.913386
0.362205	5.669302791	1	0.913386
0.385827	-11.33860558	1	0.905512
0.401575	-26.92913096	1	0.897638
0.417323	-42.51965634	1	0.897638
0.433071	-59.52756472	1	0.889764
0.448819	-75.1180901	1	0.88189
0.472441	-90.70861548	1	0.88189
0.488189	-106.2991982	1	0.874016
0.503937	-121.8897235	1	0.866142
0.519685	-137.4803062	1	0.858268
0.535433	-153.0708316	1	0.850394
0.551181	-168.661357	1	0.850394
0.566929	179.9999626	1	0.84252
0.582677	164.4094372	1	0.834646
0.598425	148.8188545	1	0.826772
0.614173	134.6456548	1	0.818898
0.629921	120.4723978	1	0.811024
0.645669	104.8818725	1	0.811024
0.661417	90.70861548	1	0.80315
0.677165	76.53541579	1	0.795276
0.692913	62.36221611	1	0.787402
0.708661	48.18895913	1	0.779528
0.716535	35.43308515	1	0.771654
0.732283	21.25982817	1	0.76378
0.740157	7.086628489	1	0.755906
0.755906	-5.669302791	1	0.748031
0.771654	-18.42517678	1	0.740157
0.779528	-32.59843375	1	0.732283
0.787402	-45.35430774	1	0.724409
0.803150	-58.11023902	1	0.716535
0.811024	-70.866113	1	0.716535
0.818898	-83.62204428	1	0.708661
0.834646	-94.96059257	1	0.700787
0.842520	-107.7165239	1	0.692913
0.850394	-119.0550721	1	0.685039
0.858268	-131.8110034	1	0.677165
0.866142	-143.1495517	1	0.669291
0.874016	-154.4881573	1	0.661417
0.881890	-165.8267629	1	0.653543
0.889764	-177.1653112	1	0.645669
0.897638	174.3306598	1	0.637795
0.905512	162.9921115	1	0.629921
0.913386	151.6535059	1	0.622047
0.913386	141.732226	1	0.614173
0.921260	130.3936777	1	0.606299
0.929134	120.4723978	1	0.598425
0.929134	110.5511752	1	0.590551
0.937008	100.6298954	1	0.582677
0.944882	90.70861548	1	0.574803
0.944882	80.78739289	1	0.566929
0.952756	70.866113	1	0.559055
0.952756	60.94489041	1	0.551181
